scientificName,vernacularName,taxonId,redListCategory,assessmentYear,speciesGroup,assessmentArea
×Ammocalamagrostis baltica,østersjørør,153890,EN,2021,Karplanter,Norge
×Arctodupontia scleroclada,kongsfjordgras,153891,EN,2021,Karplanter,Svalbard
×Pucciphippsia vacillans,svalbardgras,153896,VU,2021,Karplanter,Svalbard
Abacoproeces saltuum,klippeedderkopp,2644,LC,2021,Edderkoppdyr,Norge
Abax parallelepipedus,,5565,LC,2021,Biller,Norge
Abdera affinis,,9460,LC,2021,Biller,Norge
Abdera flexuosa,,9462,LC,2021,Biller,Norge
Abia aenea,,111724,LC,2021,Vepser,Norge
Abia candens,,111726,VU,2021,Vepser,Norge
Abia fasciata,,111727,LC,2021,Vepser,Norge
Abia lonicerae,,111728,NE,2021,Vepser,Norge
Abia sericea,,111731,VU,2021,Vepser,Norge
Abies alba,edelgran,103793,LC,2021,Karplanter,Norge
Abies amabilis,stillehavsedelgran,145490,NA,2021,Karplanter,Norge
Abies balsamea,balsamedelgran,103794,NA,2021,Karplanter,Norge
Abies cephalonica,gresk edelgran,145491,NA,2021,Karplanter,Norge
Abies concolor,koloradoedelgran,103795,NA,2021,Karplanter,Norge
Abies firma,momiedelgran,145492,NA,2021,Karplanter,Norge
Abies grandis,kjempeedelgran,103796,NA,2021,Karplanter,Norge
Abies homolepis,nikkoedelgran,145493,NA,2021,Karplanter,Norge
Abies koreana,koreaedelgran,128698,NA,2021,Karplanter,Norge
Abies lasiocarpa,fjelledelgran,103797,NA,2021,Karplanter,Norge
Abies magnifica,praktedelgran,145494,NA,2021,Karplanter,Norge
Abies mariesii,mariesedelgran,127895,NA,2021,Karplanter,Norge
Abies nordmanniana,nordmannsedelgran,103798,NA,2021,Karplanter,Norge
Abies procera,nobelgran,103799,NA,2021,Karplanter,Norge
Abies sachalinensis,sakhalinedelgran,145495,NA,2021,Karplanter,Norge
Abies sibirica,sibiredelgran,103800,NA,2021,Karplanter,Norge
Abies veitchii,veitchedelgran,145496,NA,2021,Karplanter,Norge
Abietinella abietina,granmose,104789,LC,2021,Moser,Norge
Abiskoa abiskoensis,huldremattevever,2646,LC,2021,Edderkoppdyr,Norge
Abiskomyia paravirgo,,17269,NE,2021,Tovinger,Norge
Abiskomyia virgo,,17270,NE,2021,Tovinger,Norge
Ablabesmyia (Ablabesmyia) longistyla,,17796,NE,2021,Tovinger,Norge
Ablabesmyia (Ablabesmyia) monilis,,17797,NE,2021,Tovinger,Norge
Ablabesmyia (Ablabesmyia) phatta,,17798,NE,2021,Tovinger,Norge
Abludomelita obtusata,,2116,LC,2021,Krepsdyr,Norge
Abortiporus biennis,klumpkjuke,56931,NT,2021,Sopper,Norge
Abra alba,,108344,LC,2021,Bløtdyr,Norge
Abra longicallus,,108345,LC,2021,Bløtdyr,Norge
Abra nitida,,108346,LC,2021,Bløtdyr,Norge
Abra prismatica,,108347,LC,2021,Bløtdyr,Norge
Abraeus parvulus,,10775,EN,2021,Biller,Norge
Abramis brama,brasme,42613,LC,2021,Fisker,Norge
Abraxas grossulariata,stikkelsbærpraktmåler,47044,LC,2021,Sommerfugler,Norge
Abraxas sylvata,almepraktmåler,47045,VU,2021,Sommerfugler,Norge
Abrostola tripartita,grått neslefly,47309,LC,2021,Sommerfugler,Norge
Abrostola triplasia,brungult neslefly,47310,LC,2021,Sommerfugler,Norge
Absconditella annexa,,77669,NE,2021,Laver,Norge
Absconditella annexa,,77669,NE,2021,Laver,Svalbard
Absconditella delutula,,77671,NE,2021,Laver,Norge
Absconditella sphagnorum,,77673,LC,2021,Laver,Norge
Absconditella trivialis,,77674,NE,2021,Laver,Norge
Abutilon theophrasti,linderose,102715,NA,2021,Karplanter,Norge
Abyssoninoe abyssorum,,127566,NE,2021,Leddormer,Norge
Abyssoninoe hibernica,,127567,LC,2021,Leddormer,Norge
Abyssoninoe scopa,,127568,LC,2021,Leddormer,Norge
Acalles echinatus,,8612,NE,2021,Biller,Norge
Acalles misellus,,8613,VU,2021,Biller,Norge
Acalles ptinoides,,8615,LC,2021,Biller,Norge
Acalypha brachystachya,kobberblad,102759,NA,2021,Karplanter,Norge
Acalypta carinata,marknettege,109721,LC,2021,Nebbmunner,Norge
Acalypta gracilis,smalnettege,109722,LC,2021,Nebbmunner,Norge
Acalypta marginata,randnettege,109723,DD,2021,Nebbmunner,Norge
Acalypta nigrina,mørknettege,109725,LC,2021,Nebbmunner,Norge
Acalypta parvula,sandnettege,109726,LC,2021,Nebbmunner,Norge
Acalypta platycheila,mosenettege,109727,LC,2021,Nebbmunner,Norge
Acalyptus carpini,,8623,LC,2021,Biller,Norge
Acamptocladius reissi,,17272,NE,2021,Tovinger,Norge
Acamptocladius submontanus,,17273,NE,2021,Tovinger,Norge
Acanopsilus heterocerus,,115862,LC,2021,Vepser,Norge
Acanosema nervosum,,115864,LC,2021,Vepser,Norge
Acanthicolepis asperrima,,138816,LC,2021,Leddormer,Norge
Acanthinula aculeata,piggsnegl,121092,LC,2021,Bløtdyr,Norge
Acanthiophilus helianthi,,23438,NA,2021,Tovinger,Norge
Acanthis flammea,gråsisik,185969,LC,2021,Fugler,Norge
Acanthis flammea,gråsisik,185969,NA,2021,Fugler,Svalbard
Acanthis hornemanni,polarsisik,185971,LC,2021,Fugler,Norge
Acanthobasidium norvegicum,røsslyngbarksopp,64670,LC,2021,Sopper,Norge
Acanthobdella peledina,børsteigle,4938,LC,2021,Leddormer,Norge
Acanthocardia echinata,pigghjerteskjell,108284,LC,2021,Bløtdyr,Norge
Acanthochitona crinita,børsteleddsnegl,51432,LC,2021,Bløtdyr,Norge
Acanthocinus aedilis,tømmermann,6492,LC,2021,Biller,Norge
Acanthocinus griseus,,6493,EN,2021,Biller,Norge
Acanthocnema glaucescens,,25575,DD,2021,Tovinger,Norge
Acanthocnema nigrimana,,25576,LC,2021,Tovinger,Norge
Acanthocyclops capillatus,klarvannshops,123988,LC,2021,Krepsdyr,Norge
Acanthocyclops robustus,robusthops,123989,LC,2021,Krepsdyr,Norge
Acanthocyclops vernalis,survannshops,123990,LC,2021,Krepsdyr,Norge
Acanthodelphax denticauda,,110726,LC,2021,Nebbmunner,Norge
Acanthodiaptomus denticornis,allestedshops,4798,LC,2021,Krepsdyr,Norge
Acanthodiaptomus tibetanus,tibethops,4800,LC,2021,Krepsdyr,Norge
Acanthodoris pilosa,,108546,LC,2021,Bløtdyr,Norge
Acantholabrus palloni,brungylt,43038,LC,2021,Fisker,Norge
Acantholeberis curvirostris,bruntvannskreps,123955,LC,2021,Krepsdyr,Norge
Acantholycosa lignaria,praktulveedderkopp,3017,LC,2021,Edderkoppdyr,Norge
Acantholycosa norvegica,norsk bergulveedderkopp,3018,LC,2021,Edderkoppdyr,Norge
Acantholyda (Itycorsia) hieroglyphica,furukulturspinnveps,111829,LC,2021,Vepser,Norge
Acantholyda (Itycorsia) posticalis,,111831,LC,2021,Vepser,Norge
Acantholyda erythrocephala,furuspinnveps,111827,LC,2021,Vepser,Norge
Acantholyda flaviceps,,111828,LC,2021,Vepser,Norge
Acanthonitschkea tristis,,66367,LC,2021,Sopper,Norge
Acanthonotozoma cristatum,,1617,LC,2021,Krepsdyr,Norge
Acanthonotozoma dunbari,,1618,LC,2021,Krepsdyr,Norge
Acanthonotozoma inflatum,,1619,LC,2021,Krepsdyr,Norge
Acanthonotozoma magnum,,1620,LC,2021,Krepsdyr,Norge
Acanthonotozoma monodentatum,,1621,NA,2021,Krepsdyr,Norge
Acanthonotozoma rusanovae,,1622,LC,2021,Krepsdyr,Norge
Acanthonotozoma serratum,,1623,LC,2021,Krepsdyr,Norge
Acanthonotozoma sinuatum,,1624,LC,2021,Krepsdyr,Norge
Acanthophysellum cerussatum,seljestripeskinn,64671,LC,2021,Sopper,Norge
Acanthophysellum lividocoeruleum,drueskinn,64672,LC,2021,Sopper,Norge
Acanthopsyche atra,lyngsekkspinner,44807,LC,2021,Sommerfugler,Norge
Acanthoscelides obtectus,bønnefrøbille,6900,NA,2021,Biller,Norge
Acanthosoma haemorrhoidale,storløvtege,110573,LC,2021,Nebbmunner,Norge
Acanthostepheia beringiensis,,2145,LC,2021,Krepsdyr,Norge
Acanthostepheia malmgreni,,2146,LC,2021,Krepsdyr,Norge
Acanthostigma minutum,,80487,NE,2021,Sopper,Norge
Acanthotrochus mirabilis,,213495,LC,2021,Pigghuder,Norge
Acanthoxanthium spinosum,tistelkrokfrø,100389,NA,2021,Karplanter,Norge
Acarospora atrata,,65119,NE,2021,Laver,Norge
Acarospora badiofusca,,65121,LC,2021,Laver,Norge
Acarospora badiofusca,,65121,LC,2021,Laver,Svalbard
Acarospora brunneola,,65127,NE,2021,Laver,Norge
Acarospora cervina,,65136,NE,2021,Laver,Norge
Acarospora discreta,,65148,NE,2021,Laver,Norge
Acarospora fuscata,,65159,LC,2021,Laver,Norge
Acarospora fuscata,,65159,NE,2021,Laver,Svalbard
Acarospora glaucocarpa,,65165,LC,2021,Laver,Norge
Acarospora glaucocarpa,,65165,NE,2021,Laver,Svalbard
Acarospora hospitans,,65176,NE,2021,Laver,Norge
Acarospora hospitans,,65176,NE,2021,Laver,Svalbard
Acarospora impressula,oslosprekklav,65180,EN,2021,Laver,Norge
Acarospora insolata,,65183,NE,2021,Laver,Norge
Acarospora macrospora,,65201,LC,2021,Laver,Norge
Acarospora moenium,,83343,LC,2021,Laver,Norge
Acarospora moenium,,83343,NE,2021,Laver,Svalbard
Acarospora molybdina,,65212,LC,2021,Laver,Norge
Acarospora molybdina,,65212,LC,2021,Laver,Svalbard
Acarospora nitrophila,,65222,LC,2021,Laver,Norge
Acarospora oligospora,,65229,NE,2021,Laver,Norge
Acarospora persimilis,,65235,NE,2021,Laver,Svalbard
Acarospora rhizobola,,65248,NE,2021,Laver,Norge
Acarospora rhizobola,,65248,NE,2021,Laver,Svalbard
Acarospora rosulata,,65251,NE,2021,Laver,Norge
Acarospora rosulata,,65251,NE,2021,Laver,Svalbard
Acarospora rugulosa,,65254,NE,2021,Laver,Norge
Acarospora rugulosa,,65254,LC,2021,Laver,Svalbard
Acarospora scrobiculata,,65260,NE,2021,Laver,Norge
Acarospora sinopica,rustsprekklav,65263,LC,2021,Laver,Norge
Acarospora sinopica,rustsprekklav,65263,LC,2021,Laver,Svalbard
Acarospora squamulosa,,83400,LC,2021,Laver,Norge
Acarospora squamulosa,,83400,NE,2021,Laver,Svalbard
Acarospora umbilicata,,65295,NE,2021,Laver,Norge
Acarospora veronensis,,65299,LC,2021,Laver,Norge
Acarospora veronensis,,65299,LC,2021,Laver,Svalbard
Acarospora wahlenbergii,,65304,LC,2021,Laver,Norge
Acartauchenius scurrilis,luggmauredderkopp,133741,NT,2021,Edderkoppdyr,Norge
Acartia bifilosa,,4776,LC,2021,Krepsdyr,Norge
Acartia clausi,,4777,LC,2021,Krepsdyr,Norge
Acartia discaudata,,4778,LC,2021,Krepsdyr,Norge
Acartia longiremis,,4779,LC,2021,Krepsdyr,Norge
Acartia teclae,,4780,DD,2021,Krepsdyr,Norge
Acartia tonsa,,128535,NA,2021,Krepsdyr,Norge
Acartophthalmus bicolor,,24064,LC,2021,Tovinger,Norge
Acartophthalmus nigrinus,,24065,LC,2021,Tovinger,Norge
Acasis appensata,grå tungemåler,46968,VU,2021,Sommerfugler,Norge
Acasis viretata,grønn tungemåler,46969,LC,2021,Sommerfugler,Norge
Acaulon mediterraneum,hårsvøpmose,104881,CR,2021,Moser,Norge
Acaulon muticum,vortesvøpmose,104882,EN,2021,Moser,Norge
Accipiter gentilis,hønsehauk,3853,VU,2021,Fugler,Norge
Accipiter nisus,spurvehauk,3856,LC,2021,Fugler,Norge
Acentrella lapponica,tohalet smådøgnflue,49472,LC,2021,Døgnfluer,Norge
Acentria ephemerella,hvit dammott,46364,VU,2021,Sommerfugler,Norge
Acer barbinerve,,127896,NA,2021,Karplanter,Norge
Acer campestre,naverlønn,103556,NA,2021,Karplanter,Norge
Acer ginnala,sibirlønn,103557,NA,2021,Karplanter,Norge
Acer japonicum,japanlønn,127897,NA,2021,Karplanter,Norge
Acer monspessulanum,montpellierlønn,128699,NA,2021,Karplanter,Norge
Acer negundo,asklønn,103558,NA,2021,Karplanter,Norge
Acer palmatum,,169987,NA,2021,Karplanter,Norge
Acer pictum,,145497,NA,2021,Karplanter,Norge
Acer platanoides,spisslønn,103559,LC,2021,Karplanter,Norge
Acer pseudoplatanus,platanlønn,103560,NA,2021,Karplanter,Norge
Acer pseudosieboldianum,,170387,NA,2021,Karplanter,Norge
Acer saccharinum,sølvlønn,127899,NA,2021,Karplanter,Norge
Acer saccharum,sukkerlønn,128836,NA,2021,Karplanter,Norge
Acer sieboldianum,,127900,NA,2021,Karplanter,Norge
Acer tataricum,tatarlønn,103561,NA,2021,Karplanter,Norge
Acericerus heydenii,,110961,LC,2021,Nebbmunner,Norge
Acericerus vittifrons,,120276,NA,2021,Nebbmunner,Norge
Aceroides goesi,,2148,LC,2021,Krepsdyr,Norge
Aceroides latipes,,2149,LC,2021,Krepsdyr,Norge
Acervus aurantiacus,,79230,NE,2021,Sopper,Norge
Acesta excavata,bergskjell,108173,LC,2021,Bløtdyr,Norge
Achaeridion conigerum,røyskamfot,133835,LC,2021,Edderkoppdyr,Norge
Achalcus cinereus,,21850,LC,2021,Tovinger,Norge
Achalcus flavicollis,,21851,LC,2021,Tovinger,Norge
Achalcus melanotrichus,,21852,VU,2021,Tovinger,Norge
Achalcus nigropunctatus,,170185,LC,2021,Tovinger,Norge
Achalcus vaillanti,,21853,LC,2021,Tovinger,Norge
Achanthiptera rohrelliformis,,26177,NE,2021,Tovinger,Norge
Acherontia atropos,dødninghode,46489,NA,2021,Sommerfugler,Norge
Acheta domestica,hussiriss,112739,NA,2021,Rettvinger,Norge
Achillea filipendulina,praktryllik,100391,NA,2021,Karplanter,Norge
Achillea millefolium,ryllik,100392,LC,2021,Karplanter,Norge
Achillea millefolium,ryllik,100392,NA,2021,Karplanter,Svalbard
Achillea nobilis,engryllik,100395,NA,2021,Karplanter,Norge
Achillea ptarmica,nyseryllik,100396,LC,2021,Karplanter,Norge
Achillea ptarmica,nyseryllik,100396,NA,2021,Karplanter,Svalbard
Achillea tomentosa,filtryllik,100397,NA,2021,Karplanter,Norge
Achlya flavicornis,vårhalvspinner,46691,LC,2021,Sommerfugler,Norge
Achorotile albosignata,,110729,LC,2021,Nebbmunner,Norge
Achorotile longicornis,,110730,VU,2021,Nebbmunner,Norge
Achroia grisella,liten bivoksmott,46186,LC,2021,Sommerfugler,Norge
Achroomyces chlamydosporus,,203750,NE,2021,Sopper,Norge
Achroomyces disciformis,lindeknapp,122356,DD,2021,Sopper,Norge
Acidia cognata,,23440,LC,2021,Tovinger,Norge
Acidostoma obesum,,2097,LC,2021,Krepsdyr,Norge
Acidota crenata,,12227,LC,2021,Biller,Norge
Acidota cruentata,,12228,LC,2021,Biller,Norge
Acidota quadrata,,12229,LC,2021,Biller,Norge
Acilius canaliculatus,,5939,LC,2021,Biller,Norge
Acilius sulcatus,,5940,LC,2021,Biller,Norge
Acinetospora crinita,,107041,LC,2021,Alger,Norge
Acinia corniculata,,23442,LC,2021,Tovinger,Norge
Acinos alpinus,,127901,NA,2021,Karplanter,Norge
Acinos arvensis,bakkemynte,102267,LC,2021,Karplanter,Norge
Acipenser oxyrinchus,atlanterhavstør,144574,NA,2021,Fisker,Norge
Acipenser sturio,stør,42571,NA,2021,Fisker,Norge
Acirsa coarctata,,108982,LC,2021,Bløtdyr,Norge
Acleris abietana,granflatvikler,45663,LC,2021,Sommerfugler,Norge
Acleris arcticana,polarflatvikler,45675,LC,2021,Sommerfugler,Norge
Acleris aspersana,mjødurtflatvikler,45673,LC,2021,Sommerfugler,Norge
Acleris bergmanniana,roseflatvikler,45660,LC,2021,Sommerfugler,Norge
Acleris comariana,jordbærflatvikler,45661,LC,2021,Sommerfugler,Norge
Acleris cristana,slåpetornflatvikler,45671,LC,2021,Sommerfugler,Norge
Acleris effractana,grå flatvikler,45667,LC,2021,Sommerfugler,Norge
Acleris emargana,konkavflatvikler,45668,LC,2021,Sommerfugler,Norge
Acleris ferrugana,eikeflatvikler,45681,LC,2021,Sommerfugler,Norge
Acleris ferrumixtana,fjellflatvikler,214172,LC,2021,Sommerfugler,Norge
Acleris fimbriana,lyngflatvikler,45687,LC,2021,Sommerfugler,Norge
Acleris forsskaleana,lønneblomstflatvikler,45659,LC,2021,Sommerfugler,Norge
Acleris hastiana,seljeflatvikler,45676,LC,2021,Sommerfugler,Norge
Acleris holmiana,rød flatvikler,45658,LC,2021,Sommerfugler,Norge
Acleris hyemana,kystflatvikler,45677,LC,2021,Sommerfugler,Norge
Acleris laterana,buskflatvikler,45662,LC,2021,Sommerfugler,Norge
Acleris lipsiana,punktflatvikler,45685,LC,2021,Sommerfugler,Norge
Acleris literana,grønn flatvikler,45684,LC,2021,Sommerfugler,Norge
Acleris logiana,hvit flatvikler,45682,LC,2021,Sommerfugler,Norge
Acleris maccana,blåbærflatvikler,45664,LC,2021,Sommerfugler,Norge
Acleris notana,bjørkeflatvikler,45680,LC,2021,Sommerfugler,Norge
Acleris obtusana,mørk ospeflatvikler,45679,LC,2021,Sommerfugler,Norge
Acleris rhombana,nettflatvikler,45666,LC,2021,Sommerfugler,Norge
Acleris roscidana,lys ospeflatvikler,45683,LC,2021,Sommerfugler,Norge
Acleris rufana,rustflatvikler,45686,LC,2021,Sommerfugler,Norge
Acleris schalleriana,krossvedflatvikler,45669,NT,2021,Sommerfugler,Norge
Acleris shepherdana,sumpflatvikler,45674,NT,2021,Sommerfugler,Norge
Acleris sparsana,lønnebladflatvikler,45665,LC,2021,Sommerfugler,Norge
Acleris umbrana,heggflatvikler,45670,LC,2021,Sommerfugler,Norge
Acleris variegana,marmorflatvikler,45672,LC,2021,Sommerfugler,Norge
Aclis ascaris,,108970,NE,2021,Bløtdyr,Norge
Aclis minor,,108971,NE,2021,Bløtdyr,Norge
Aclis sarsi,,108972,LC,2021,Bløtdyr,Norge
Aclis walleri,,108973,LC,2021,Bløtdyr,Norge
Aclista acuta,,115866,LC,2021,Vepser,Norge
Aclista alticollis,,115867,LC,2021,Vepser,Norge
Aclista analis,,115868,LC,2021,Vepser,Norge
Aclista bitensis,,115869,LC,2021,Vepser,Norge
Aclista boops,,115870,LC,2021,Vepser,Norge
Aclista brevicornis,,115871,LC,2021,Vepser,Norge
Aclista cantiana,,115872,LC,2021,Vepser,Norge
Aclista dubia,,115873,LC,2021,Vepser,Norge
Aclista elevata,,115874,LC,2021,Vepser,Norge
Aclista evadne,,115875,DD,2021,Vepser,Norge
Aclista filiformis,,115876,LC,2021,Vepser,Norge
Aclista fusca,,115877,LC,2021,Vepser,Norge
Aclista haemorrhoidalis,,115878,LC,2021,Vepser,Norge
Aclista insolita,,115879,LC,2021,Vepser,Norge
Aclista janssoni,,115880,LC,2021,Vepser,Norge
Aclista larsovei,,115881,LC,2021,Vepser,Norge
Aclista marshalli,,115882,LC,2021,Vepser,Norge
Aclista mycale,,115883,LC,2021,Vepser,Norge
Aclista myles,,115884,LC,2021,Vepser,Norge
Aclista neglecta,,115885,LC,2021,Vepser,Norge
Aclista nigriceps,,115886,LC,2021,Vepser,Norge
Aclista ninae,,115887,DD,2021,Vepser,Norge
Aclista pallida,,115888,LC,2021,Vepser,Norge
Aclista parvula,,115889,LC,2021,Vepser,Norge
Aclista praeclara,,115890,LC,2021,Vepser,Norge
Aclista prolongata,,115891,LC,2021,Vepser,Norge
Aclista prudens,,115892,LC,2021,Vepser,Norge
Aclista relativa,,115893,DD,2021,Vepser,Norge
Aclista rufopetiolata,,115894,LC,2021,Vepser,Norge
Aclista scutellaris,,115895,LC,2021,Vepser,Norge
Aclista striolata,,115896,LC,2021,Vepser,Norge
Aclista transversa,,115897,LC,2021,Vepser,Norge
Aclypea opaca,gråsvart åtselbille,11461,LC,2021,Biller,Norge
Acmaeops marginatus,,6641,EN,2021,Biller,Norge
Acmaeops septentrionis,,6642,EN,2021,Biller,Norge
Acmaeops smaragdulus,,6643,RE,2021,Biller,Norge
Acnemia angusta,,18444,LC,2021,Tovinger,Norge
Acnemia falcata,,18445,LC,2021,Tovinger,Norge
Acnemia longipes,,18446,LC,2021,Tovinger,Norge
Acnemia nitidicollis,,18447,LC,2021,Tovinger,Norge
Acolium inquinans,gråsotbeger,85543,VU,2021,Laver,Norge
Acolium karelicum,trollsotbeger,187267,VU,2021,Laver,Norge
Acolium sessile,,187278,CR,2021,Laver,Norge
Acomoptera difficilis,,18449,LC,2021,Tovinger,Norge
Acomoptera spinistyla,,169432,LC,2021,Tovinger,Norge
Acompocoris alpinus,,110161,LC,2021,Nebbmunner,Norge
Acompocoris montanus,,110162,NE,2021,Nebbmunner,Norge
Acompocoris pygmaeus,,110163,LC,2021,Nebbmunner,Norge
Acompsia cinerella,,45593,LC,2021,Sommerfugler,Norge
Acompus rufipes,,110441,LC,2021,Nebbmunner,Norge
Aconitum ×cammarum,prakthjelm,153940,NA,2021,Karplanter,Norge
Aconitum lasiostomum,gul tyrihjelm,143436,NA,2021,Karplanter,Norge
Aconitum lycoctonum,,103073,NA,2021,Karplanter,Norge
Aconitum napellus,storhjelm,103076,NA,2021,Karplanter,Norge
Aconitum napellus subsp. lusitanicum,,103077,NA,2021,Karplanter,Norge
Aconitum septentrionale,tyrihjelm,143437,LC,2021,Karplanter,Norge
Aconogonon ×fennicum,værøyslirekne,102897,NA,2021,Karplanter,Norge
Aconogonon alpinum,alpeslirekne,102895,NA,2021,Karplanter,Norge
Aconogonon divaricatum,toppslirekne,102896,NA,2021,Karplanter,Norge
Aconogonon sibiricum,sibirslirekne,145498,NA,2021,Karplanter,Norge
Aconogonon weyrichii,filtslirekne,102898,NA,2021,Karplanter,Norge
Acontia trabealis,vindelfly,47346,NA,2021,Sommerfugler,Norge
Acorus calamus,kalmusrot,99300,NT,2021,Karplanter,Norge
Acossus terebra,ospetredreper,45642,VU,2021,Sommerfugler,Norge
Acricotopus lucens,,17275,NE,2021,Tovinger,Norge
Acritagasyllis longichaetosus,,152144,LC,2021,Leddormer,Norge
Acritus homoeopathicus,,10781,CR,2021,Biller,Norge
Acritus minutus,,10783,EN,2021,Biller,Norge
Acritus nigricornis,,10784,LC,2021,Biller,Norge
Acrobasis advenella,rognesmalmott,120266,LC,2021,Sommerfugler,Norge
Acrobasis consociella,liten eikesmalmott,46249,LC,2021,Sommerfugler,Norge
Acrobasis marmorea,slåpetornsmalmott,120267,VU,2021,Sommerfugler,Norge
Acrobasis repandana,hvithodesmalmott,120264,LC,2021,Sommerfugler,Norge
Acrobasis sodalella,stor eikesmalmott,46248,LC,2021,Sommerfugler,Norge
Acrobasis tumidana,vintereiksmalmott,120265,VU,2021,Sommerfugler,Norge
Acrocephalus dumetorum,busksanger,4434,NA,2021,Fugler,Norge
Acrocephalus palustris,myrsanger,4436,LC,2021,Fugler,Norge
Acrocephalus schoenobaenus,sivsanger,4437,LC,2021,Fugler,Norge
Acrocephalus scirpaceus,rørsanger,4438,LC,2021,Fugler,Norge
Acrocera (Acrocera) orbiculus,toppantenne kuleflue,21179,LC,2021,Tovinger,Norge
Acrocercops brongniardella,,44875,LC,2021,Sommerfugler,Norge
Acrochaetium alariae,,106476,NE,2021,Alger,Norge
Acrochaetium balticum,,106477,NE,2021,Alger,Norge
Acrochaetium collopodum,,106479,NE,2021,Alger,Norge
Acrochaetium emergens,,106480,NE,2021,Alger,Norge
Acrochaetium endozoicum,,106481,NE,2021,Alger,Norge
Acrochaetium gynandrum,,106482,NE,2021,Alger,Norge
Acrochaetium humile,,106483,NE,2021,Alger,Norge
Acrochaetium immersum,,106484,NE,2021,Alger,Norge
Acrochaetium inclusum,,106486,NE,2021,Alger,Norge
Acrochaetium leptonema,,106487,NE,2021,Alger,Norge
Acrochaetium macula,,106488,NE,2021,Alger,Norge
Acrochaetium moniliforme,,106489,NE,2021,Alger,Norge
Acrochaetium nemalione,,106490,NE,2021,Alger,Norge
Acrochaetium nitophylli,,106491,NE,2021,Alger,Norge
Acrochaetium parvulum,,106492,NE,2021,Alger,Norge
Acrochaetium reductum,,106493,NE,2021,Alger,Norge
Acrochaetium rosulatum,,106494,NE,2021,Alger,Norge
Acrochaetium savianum,,106495,NE,2021,Alger,Norge
Acrochaetium secundatum,,106496,NE,2021,Alger,Norge
Acrochaetium sertulariae,,106921,NE,2021,Alger,Norge
Acrochaetium sparsum,,106497,NE,2021,Alger,Norge
Acrocordia cavata,,80611,NE,2021,Laver,Norge
Acrocordia conoidea,,80612,NE,2021,Laver,Norge
Acrocordia gemmata,stor vulkanlav,80613,LC,2021,Laver,Norge
Acrocordia macrospora,,80615,NE,2021,Laver,Norge
Acrocordia salweyi,,80617,NE,2021,Laver,Norge
Acrocytis groenlandicus,,107060,NE,2021,Alger,Norge
Acrolepiopsis assectella,purremøll,45043,LC,2021,Sommerfugler,Norge
Acrolepiopsis betulella,,45044,EN,2021,Sommerfugler,Norge
Acroloxus lacustris,innsjøtoppluesnegl,120987,LC,2021,Bløtdyr,Norge
Acrometopia wahlbergi,,23832,LC,2021,Tovinger,Norge
Acronicta aceris,lønnekveldfly,47362,LC,2021,Sommerfugler,Norge
Acronicta alni,orekveldfly,47359,LC,2021,Sommerfugler,Norge
Acronicta auricoma,broket kveldfly,47366,LC,2021,Sommerfugler,Norge
Acronicta cinerea,blågrått kveldfly,120248,LC,2021,Sommerfugler,Norge
Acronicta leporina,hvitt kveldfly,47363,LC,2021,Sommerfugler,Norge
Acronicta megacephala,ospekveldfly,47364,LC,2021,Sommerfugler,Norge
Acronicta menyanthidis,myrkveldfly,47365,LC,2021,Sommerfugler,Norge
Acronicta psi,psikveldfly,47361,LC,2021,Sommerfugler,Norge
Acronicta rumicis,syrekveldfly,47368,LC,2021,Sommerfugler,Norge
Acronicta tridens,bjørkekveldfly,47360,VU,2021,Sommerfugler,Norge
Acropagia crassa,,108332,LC,2021,Bløtdyr,Norge
Acroperus angustatus,flattrykt harpekreps,162701,LC,2021,Krepsdyr,Norge
Acroperus harpae,harpekreps,123871,LC,2021,Krepsdyr,Norge
Acropiesta flavipes,,115899,LC,2021,Vepser,Norge
Acropiesta flaviventris,,115900,LC,2021,Vepser,Norge
Acropiesta macrocera,,115901,LC,2021,Vepser,Norge
Acropiesta nitida,,213996,LC,2021,Vepser,Norge
Acropiesta rufiventris,,115902,LC,2021,Vepser,Norge
Acropiesta sciarivora,,115903,LC,2021,Vepser,Norge
Acrosathe annulata,sørlig sølvstilettflue,21232,LC,2021,Tovinger,Norge
Acrosiphonia arcta,stor grønndott,106283,LC,2021,Alger,Norge
Acrosiphonia glacialis,,106284,NA,2021,Alger,Norge
Acrosiphonia grandis,,106285,NE,2021,Alger,Norge
Acrosiphonia sonderi,storcellet grønndott,106286,LC,2021,Alger,Norge
Acrosiphonia spinescens,,106287,NE,2021,Alger,Norge
Acrospermum compressum,staudestift,76215,NE,2021,Sopper,Norge
Acrospermum graminum,,76217,NE,2021,Sopper,Norge
Acrostiba borealis,,12020,LC,2021,Biller,Norge
Acrothrix gracilis,flutagl,107062,LC,2021,Alger,Norge
Acrotona amblystegii,,11523,LC,2021,Biller,Norge
Acrotona amplicollis,,11524,LC,2021,Biller,Norge
Acrotona aterrima,,11525,LC,2021,Biller,Norge
Acrotona benicki,,11526,LC,2021,Biller,Norge
Acrotona clientula,,11527,EN,2021,Biller,Norge
Acrotona convergens,,11528,LC,2021,Biller,Norge
Acrotona exigua,,11529,LC,2021,Biller,Norge
Acrotona fungi,,11530,LC,2021,Biller,Norge
Acrotona muscorum,,11531,LC,2021,Biller,Norge
Acrotona negligens,,11532,NT,2021,Biller,Norge
Acrotona obfuscata,,11533,NT,2021,Biller,Norge
